DATE,GOLDAMGBD228NLBM
12.01.2020,1796.2
12.02.2020,1832.95
12.03.2020,1834.8
12.04.2020,1839.3
12.07.2020,1832.8
12.08.2020,1864.5
12.09.2020,1859.8
12.10.2020,1834.2
12.11.2020,1833.65
12/14/2020,1820.25
12/15/2020,1844.3
12/16/2020,1861.35
12/17/2020,1871.95
12/18/2020,1878.95
12/21/2020,1869.25
12/22/2020,1873.3
12/23/2020,1867.1
12/24/2020,1872.55
12/29/2020,1873.9
12/30/2020,1877.55
12/31/2020,1891.1
